dists Freq
1 0 134
2 0.001 161
3 0.002 383
4 0.003 406
5 0.004 436
6 0.005 442
7 0.006 592
8 0.007 721
9 0.008 799
10 0.009 1494
11 0.01 561
12 0.011 858
13 0.012 682
14 0.013 644
15 0.014 588
16 0.015 667
17 0.016 790
18 0.017 748
19 0.018 780
20 0.019 1012
21 0.02 914
22 0.021 1231
23 0.022 4628
24 0.023 805
25 0.024 825
26 0.025 1043
27 0.026 916
28 0.027 555
29 0.028 1012
30 0.029 838
31 0.03 587
32 0.031 819
33 0.032 605
34 0.033 476
35 0.034 481
36 0.035 800
37 0.036 608
38 0.037 636
39 0.038 616
40 0.039 700
41 0.04 691
42 0.041 728
43 0.042 1209
44 0.043 775
45 0.044 684
46 0.045 704
47 0.046 811
48 0.047 812
49 0.048 773
50 0.049 1071
51 0.05 622
52 0.051 592
53 0.052 820
54 0.053 648
55 0.054 819
56 0.055 813
57 0.056 551
58 0.057 592
59 0.058 921
60 0.059 403
61 0.06 950
62 0.061 609
63 0.062 503
64 0.063 431
65 0.064 376
66 0.065 489
67 0.066 1193
68 0.067 670
69 0.068 430
70 0.069 408
71 0.07 580
72 0.071 576
73 0.072 501
74 0.073 589
75 0.074 698
76 0.075 566
77 0.076 357
78 0.077 507
79 0.078 393
80 0.079 355
81 0.08 618
82 0.081 442
83 0.082 381
84 0.083 368
85 0.084 420
86 0.085 305
87 0.086 324
88 0.087 499
89 0.088 405
90 0.089 679
91 0.09 357
92 0.091 480
93 0.092 382
94 0.093 399
95 0.094 339
96 0.095 460
97 0.096 1248
98 0.097 439
99 0.098 810
100 0.099 462
101 0.1 650
102 0.101 713
103 0.102 528
104 0.103 734
105 0.104 789
106 0.105 514
107 0.106 476
108 0.107 705
109 0.108 1356
110 0.109 668
111 0.11 377
112 0.111 280
113 0.112 429
114 0.113 346
115 0.114 320
116 0.115 565
117 0.116 251
118 0.117 368
119 0.118 349
120 0.119 696
121 0.12 491
122 0.121 401
123 0.122 1108
124 0.123 332
125 0.124 495
126 0.125 303
127 0.126 661
128 0.127 410
129 0.128 383
130 0.129 352
131 0.13 504
132 0.131 329
133 0.132 321
134 0.133 229
135 0.134 628
136 0.135 244
137 0.136 304
138 0.137 472
139 0.138 223
140 0.139 297
141 0.14 501
142 0.141 441
143 0.142 345
144 0.143 369
145 0.144 374
146 0.145 397
147 0.146 269
148 0.147 258
149 0.148 322
150 0.149 332
151 0.15 338
152 0.151 175
153 0.152 188
154 0.153 511
155 0.154 456
156 0.155 170
157 0.156 224
158 0.157 180
159 0.158 1397
160 0.159 327
161 0.16 153
162 0.161 312
163 0.162 209
164 0.163 544
165 0.164 255
166 0.165 264
167 0.166 583
168 0.167 539
169 0.168 210
170 0.169 156
171 0.17 257
172 0.171 327
173 0.172 345
174 0.173 233
175 0.174 165
176 0.175 262
177 0.176 308
178 0.177 192
179 0.178 200
180 0.179 281
181 0.18 553
182 0.181 309
183 0.182 200
184 0.183 166
185 0.184 321
186 0.185 168
187 0.186 288
188 0.187 602
189 0.188 766
190 0.189 277
191 0.19 591
192 0.191 462
193 0.192 343
194 0.193 193
195 0.194 325
196 0.195 500
197 0.196 353
198 0.197 233
199 0.198 237
200 0.199 442
201 0.2 260
202 0.201 432
203 0.202 351
204 0.203 264
205 0.204 227
206 0.205 172
207 0.206 395
208 0.207 297
209 0.208 153
210 0.209 292
211 0.21 116
212 0.211 607
213 0.212 350
214 0.213 111
215 0.214 128
216 0.215 144
217 0.216 237
218 0.217 164
219 0.218 123
220 0.219 235
221 0.22 154
222 0.221 135
223 0.222 169
224 0.223 218
225 0.224 175
226 0.225 172
227 0.226 169
228 0.227 120
229 0.228 141
